date,cases,deaths
15-03-2021,368,3
16-03-2021,425,1
17-03-2021,536,3
18-03-2021,607,1
19-03-2021,716,4
20-03-2021,813,2
21-03-2021,823,1
22-03-2021,888,7
23-03-2021,1101,4
24-03-2021,1254,6
25-03-2021,1515,5
26-03-2021,1534,9
27-03-2021,1558,10
28-03-2021,1881,9
29-03-2021,1904,6
30-03-2021,992,4
31-03-2021,1819,11
01-04-2021,2790,9
02-04-2021,3594,14
03-04-2021,3567,10
04-04-2021,4033,21
05-04-2021,3548,15
06-04-2021,5100,17
07-04-2021,5506,20
08-04-2021,7437,24
09-04-2021,8521,39
10-04-2021,7897,39
11-04-2021,10774,48
12-04-2021,11491,72
13-04-2021,13468,81
14-04-2021,17282,104
15-04-2021,16699,112
16-04-2021,19486,141
17-04-2021,24375,167
18-04-2021,25462,161
19-04-2021,23686,240
20-04-2021,28395,277
21-04-2021,24638,249
22-04-2021,26169,306
23-04-2021,24331,348
24-04-2021,24103,357
25-04-2021,22933,350
26-04-2021,20201,380
27-04-2021,24149,381
28-04-2021,25986,368
29-04-2021,24235,395
30-04-2021,27047,375
01-05-2021,25219,412
02-05-2021,20394,407
03-05-2021,18043,448
04-05-2021,19953,338
05-05-2021,20960,311
06-05-2021,19133,335
07-05-2021,19832,341
08-05-2021,17364,332
09-05-2021,13336,273
10-05-2021,12651,319
11-05-2021,12481,347
12-05-2021,13287,300
13-05-2021,10489,308
14-05-2021,8506,289
15-05-2021,6430,337
16-05-2021,6456,262
17-05-2021,4524,340
18-05-2021,4482,265
19-05-2021,3846,235
20-05-2021,3231,233
21-05-2021,3009,252
22-05-2021,2260,182
23-05-2021,1649,189
24-05-2021,1550,207
25-05-2021,1568,156
26-05-2021,1491,130
27-05-2021,1072,117
28-05-2021,1141,139
29-05-2021,956,122
30-05-2021,946,78
31-05-2021,648,86
01-06-2021,623,62
02-06-2021,576,103
03-06-2021,487,45
04-06-2021,523,50
05-06-2021,414,60
06-06-2021,381,34
07-06-2021,231,36
08-06-2021,316,41
09-06-2021,337,36
10-06-2021,305,44
11-06-2021,238,24
12-06-2021,213,28
13-06-2021,255,23
14-06-2021,131,16
